experiment,model,layer,domain,all_delta_auc,all_meta_mj_auc,all_truth_gt_auc,cb_cluster_n_boot_valid,cb_delta_auc,cb_delta_auc_ci_high,cb_delta_auc_ci_low,cb_delta_auc_p_le_zero,cb_meta_mj_auc,cb_meta_mj_auc_ci_high,cb_meta_mj_auc_ci_low,cb_question_clusters,cb_sample_size,cb_truth_gt_auc,cb_truth_gt_auc_ci_high,cb_truth_gt_auc_ci_low,fold_empty_quadrants,n_splits,question_clusters,sample_size,seed
Exp2A_GroupKFold,llama31_8b,14,math,0.030379357964160913,0.8321159691236144,0.8017366111594535,1000,-0.038553591598742276,0.015091443877611087,-0.09244388726216292,0.92,0.661901273010349,0.6908337247173101,0.6320058053411047,1240,1273,0.7004548646090912,0.7303457918078533,0.6690560807681166,,5,1539,3078,3629727659
Exp2A_GroupKFold,llama31_8b,15,math,0.03951502264700946,0.8407445663158222,0.8012295436688127,1000,-0.009869646182495306,0.04414501299462972,-0.05992196313007724,0.653,0.6853069572915713,0.7160583411718422,0.6553141193581322,1240,1273,0.6951766034740666,0.7240284868894762,0.6655970601457719,,5,1539,3078,2485078631
Exp2A_GroupKFold,llama31_8b,16,math,0.039917897451094975,0.8343246179319351,0.7944067204808402,1000,-0.02479470036938669,0.03334732432600076,-0.07747482554064744,0.796,0.665570717709192,0.696618087479666,0.6349966850626831,1240,1273,0.6903654180785787,0.7196642514223529,0.6589342661367761,,5,1539,3078,1053172070
Exp2A_GroupKFold,llama31_8b,17,math,0.03894270715464865,0.8310699460518338,0.7921272388971852,1000,-0.028748053851085364,0.028572642781774814,-0.08817161808686787,0.841,0.6640473791861281,0.695806443986137,0.6311276537839792,1240,1273,0.6927954330372135,0.7246487132109837,0.6623429047702907,,5,1539,3078,429683069
Exp2A_GroupKFold,llama31_8b,18,math,0.03356089541767637,0.8219968012002301,0.7884359057825537,1000,-0.040125774643587686,0.013241166255618771,-0.09292942126588831,0.928,0.653387062307293,0.6843096128976573,0.6233416014933456,1240,1273,0.6935128369508807,0.7239164592238136,0.6631774171560268,,5,1539,3078,4112255672
Exp2A_GroupKFold,llama31_8b,19,math,0.034175641455848726,0.8180774941309992,0.7839018526751504,1000,-0.0409378148182068,0.014483763158041417,-0.09382735625279558,0.926,0.645245291082822,0.6757505880621394,0.6153831599214239,1240,1273,0.6861831059010288,0.7151724490751369,0.6545383850662969,,5,1539,3078,423867793
Exp2A_GroupKFold,llama31_8b,20,math,0.02514647890291566,0.8075609054585594,0.7824144265556437,1000,-0.06005739231309337,-0.0034720338160889124,-0.11770962991035948,0.981,0.6180999481026956,0.6491473465458952,0.5849217142267007,1240,1273,0.678157340415789,0.7068044408090718,0.6462453662878578,,5,1539,3078,3275977820
Exp2A_GroupKFold,llama31_8b,21,math,0.027324617992772082,0.8136397910480248,0.7863151730552527,1000,-0.04495832951735512,0.009794930250981956,-0.10093261351485634,0.95,0.6421741917758036,0.6728153680905423,0.6109108737692577,1240,1273,0.6871325212931587,0.7167815579140552,0.6573971337244382,,5,1539,3078,3312704866
Exp2A_GroupKFold,llama31_8b,22,math,0.022870895387843038,0.8136825453584365,0.7908116499705935,1000,-0.05140275360991542,0.0045250877270754195,-0.10663866604096922,0.964,0.6409805537747657,0.6737825465057391,0.6073571414187038,1240,1273,0.6923833073846811,0.7227637370399845,0.6620577836097542,,5,1539,3078,3208063086
Exp2A_GroupKFold,llama31_8b,23,math,0.021627421703143024,0.8085151039318419,0.7868876822286989,1000,-0.05674512317977831,-0.004223971594812086,-0.11322267132995084,0.98,0.624422260890802,0.6542644867801577,0.5912447270601777,1240,1273,0.6811673840705803,0.7131558931382272,0.6526344087651805,,5,1539,3078,759539129
Exp2A_GroupKFold,llama31_8b,24,math,0.011664114603824882,0.8100387120847001,0.7983745974808752,1000,-0.0730805629331136,-0.014905672652106057,-0.1255200256499682,0.996,0.6255792655005037,0.6576316939920769,0.5958014443737283,1240,1273,0.6986598284336173,0.7270150050589158,0.6678796341775755,,5,1539,3078,3113436892
Exp2A_GroupKFold,llama31_8b,25,math,-0.0008337820695613063,0.8018629219073087,0.80269670397687,1000,-0.10740299783252438,-0.04852667513543193,-0.16452923274246545,1.0,0.5943401410385566,0.6258501938703019,0.5611033445775109,1240,1273,0.701743138871081,0.7320010441853226,0.6698363262377426,,5,1539,3078,2690659330
