experiment,model,layer,source,target,direction,delta_auc,delta_auc_ci_high,delta_auc_ci_low,delta_auc_p,delta_n_boot_valid,meta_gt_auc,meta_gt_auc_ci_high,meta_gt_auc_ci_low,meta_gt_auc_p,meta_gt_n_boot_valid,meta_mj_auc,meta_mj_auc_ci_high,meta_mj_auc_ci_low,meta_mj_auc_p,meta_mj_n_boot_valid,model_label,n_B,n_C,n_questions,sample_size,source_empty_quadrants,source_label,target_label,truth_gt_auc,truth_gt_auc_ci_high,truth_gt_auc_ci_low,truth_gt_auc_p,truth_gt_n_boot_valid,truth_mj_auc,truth_mj_auc_ci_high,truth_mj_auc_ci_low,truth_mj_auc_p,truth_mj_n_boot_valid
OOD,qwen25_7b,9,math,mmlu,math->mmlu,0.0424278846153846,0.250647802548044,-0.1916473864101244,0.381,1000,0.47608173076923077,0.5893536121673004,0.3765282905833437,0.665,1000,0.5239182692307692,0.6287907134328751,0.4140592022767479,0.318,1000,Qwen2.5-7B,260,32,280,292,,Math source,MMLU,0.4814903846153846,0.5911196654805168,0.3774761761003878,0.641,1000,0.5185096153846154,0.6253666036831401,0.41440447138138276,0.344,1000
OOD,qwen25_7b,9,math,truthfulqa_binary,math->truthfulqa_binary,0.026005013014557044,0.15964833970810058,-0.10533889980353639,0.342,1000,0.48804588836402196,0.5527504812483125,0.42499524579386594,0.639,1000,0.511954111635978,0.5765413450980396,0.44382063175436526,0.358,1000,Qwen2.5-7B,506,82,535,588,,Math source,TruthfulQA,0.485949098621421,0.5496509921713105,0.41696266926341086,0.656,1000,0.514050901378579,0.5816745054701754,0.45433637530372484,0.331,1000
OOD,qwen25_7b,9,movies,mmlu,movies->mmlu,0.07487980769230762,0.3071135043244271,-0.17705837444209538,0.263,1000,0.45528846153846153,0.5818230352036649,0.33628998004439226,0.738,1000,0.5447115384615384,0.6551785934989495,0.4187824420152006,0.231,1000,Qwen2.5-7B,260,32,280,292,,Movies source,MMLU,0.4698317307692308,0.5908738594131853,0.3521989748369059,0.682,1000,0.5301682692307692,0.6462711176208535,0.4035418741585053,0.307,1000
OOD,qwen25_7b,9,movies,truthfulqa_binary,movies->truthfulqa_binary,0.07003759760917772,0.21450687164887552,-0.058964531779304344,0.148,1000,0.46266750216909286,0.5352022082126581,0.3936778356285382,0.85,1000,0.5373324978309072,0.6041668245776025,0.47049735793840824,0.138,1000,Qwen2.5-7B,506,82,535,588,,Movies source,TruthfulQA,0.4672949002217295,0.5312816014839402,0.3988487983756492,0.818,1000,0.5327050997782705,0.6003274321493874,0.4617291046032863,0.167,1000
OOD,qwen25_7b,10,math,mmlu,math->mmlu,0.06334134615384612,0.2564656431921697,-0.1440764998615311,0.276,1000,0.4668269230769231,0.5763472772401343,0.3655198414005953,0.741,1000,0.5331730769230769,0.6336899987267633,0.42860597590630856,0.272,1000,Qwen2.5-7B,260,32,280,292,,Math source,MMLU,0.4698317307692308,0.5862505941770647,0.3697375369666244,0.7,1000,0.5301682692307692,0.6356583114134824,0.40799113529020475,0.319,1000
OOD,qwen25_7b,10,math,truthfulqa_binary,math->truthfulqa_binary,-0.028101802757158012,0.0835739409351901,-0.14461719926055552,0.694,1000,0.51841318808445,0.5800096590909091,0.45832379132438056,0.245,1000,0.48158681191555,0.5427605442714707,0.4133584168845333,0.713,1000,Qwen2.5-7B,506,82,535,588,,Math source,TruthfulQA,0.509688614672708,0.5680342506893223,0.4464967528952555,0.377,1000,0.490311385327292,0.5549671961601739,0.42913939597640866,0.608,1000
OOD,qwen25_7b,10,movies,mmlu,movies->mmlu,0.11706730769230772,0.3411655286532133,-0.1090240281806104,0.119,1000,0.3919471153846154,0.5176560335500374,0.2842615852342812,0.954,1000,0.6080528846153846,0.7314919704861111,0.49319416549411327,0.037,1000,Qwen2.5-7B,260,32,280,292,,Movies source,MMLU,0.4909855769230769,0.6022449638460406,0.3746991438796867,0.581,1000,0.5090144230769231,0.6217388038315695,0.39307271561888635,0.45,1000
OOD,qwen25_7b,10,movies,truthfulqa_binary,movies->truthfulqa_binary,-0.0828352453485009,0.04302931008308578,-0.21204261589097897,0.896,1000,0.5154969632700279,0.5817101980129095,0.4403029989134695,0.307,1000,0.484503036729972,0.55197515970934,0.42039242638384233,0.682,1000,Qwen2.5-7B,506,82,535,588,,Movies source,TruthfulQA,0.5673382820784729,0.6416795889042981,0.49665240356689955,0.032,1000,0.432661717921527,0.5015048844352248,0.37119439400593346,0.972,1000
OOD,qwen25_7b,11,math,mmlu,math->mmlu,0.057331730769230815,0.24333710669917563,-0.13316386410719064,0.258,1000,0.4675480769230769,0.5717129661845607,0.3669982428905558,0.715,1000,0.5324519230769231,0.6206783172467583,0.42570242656449553,0.288,1000,Qwen2.5-7B,260,32,280,292,,Math source,MMLU,0.4751201923076923,0.5738535843020838,0.3787259757104115,0.672,1000,0.5248798076923077,0.621825021043771,0.415001301631378,0.324,1000
OOD,qwen25_7b,11,math,truthfulqa_binary,math->truthfulqa_binary,0.06049358912561453,0.1868908919655776,-0.06172398244308432,0.151,1000,0.4889617275619397,0.5477483691922557,0.42770534526278714,0.647,1000,0.5110382724380603,0.5773605859731259,0.45306693846466595,0.36,1000,Qwen2.5-7B,506,82,535,588,,Math source,TruthfulQA,0.4505446833124458,0.5083148693151215,0.38598171469061976,0.953,1000,0.5494553166875542,0.611807629555289,0.48492548261933216,0.059,1000
